regiao,faixa_renda,grupo_consumo,inflacao_ponderada
RM de Porto Alegre (RS),Renda baixa,Vestuário,0.11956000000000001
RM de Porto Alegre (RS),Renda muito baixa,Alimentação e bebidas,1.27452
RM de Porto Alegre (RS),Renda muito baixa,Artigos de residência,0.05304
RM de Porto Alegre (RS),Renda muito baixa,Comunicação,0.056639999999999996
RM de Porto Alegre (RS),Renda muito baixa,Despesas pessoais,0.1953
RM de Porto Alegre (RS),Renda muito baixa,Educação,0.20212999999999998
RM de Porto Alegre (RS),Renda muito baixa,Habitação,1.13477
RM de Porto Alegre (RS),Renda muito baixa,Saúde e cuidados pessoais,0.5386500000000001
RM de Porto Alegre (RS),Renda muito baixa,Transportes,0.0262
RM de Porto Alegre (RS),Renda muito baixa,Vestuário,0.12444
RM de Porto Alegre (RS),Renda média,Alimentação e bebidas,0.9040200000000002
RM de Porto Alegre (RS),Renda média,Artigos de residência,0.034319999999999996
RM de Porto Alegre (RS),Renda média,Comunicação,0.056639999999999996
RM de Porto Alegre (RS),Renda média,Despesas pessoais,0.27063
RM de Porto Alegre (RS),Renda média,Educação,0.33031
RM de Porto Alegre (RS),Renda média,Habitação,0.77142
RM de Porto Alegre (RS),Renda média,Saúde e cuidados pessoais,0.55461
RM de Porto Alegre (RS),Renda média,Transportes,0.0476
RM de Porto Alegre (RS),Renda média,Vestuário,0.11223999999999998
RM de Porto Alegre (RS),Renda média alta,Alimentação e bebidas,0.7657
RM de Porto Alegre (RS),Renda média alta,Artigos de residência,0.032240000000000005
RM de Porto Alegre (RS),Renda média alta,Comunicação,0.05472
RM de Porto Alegre (RS),Renda média alta,Despesas pessoais,0.34037999999999996
RM de Porto Alegre (RS),Renda média alta,Educação,0.34509999999999996
RM de Porto Alegre (RS),Renda média alta,Habitação,0.76583
RM de Porto Alegre (RS),Renda média alta,Saúde e cuidados pessoais,0.56259
RM de Porto Alegre (RS),Renda média alta,Transportes,0.04920000000000001
RM de Porto Alegre (RS),Renda média alta,Vestuário,0.09759999999999999
RM de Porto Alegre (RS),Renda média baixa,Alimentação e bebidas,1.07692
RM de Porto Alegre (RS),Renda média baixa,Artigos de residência,0.0416
RM de Porto Alegre (RS),Renda média baixa,Comunicação,0.06431999999999999
RM de Porto Alegre (RS),Renda média baixa,Despesas pessoais,0.2232
RM de Porto Alegre (RS),Renda média baixa,Educação,0.22677999999999998
RM de Porto Alegre (RS),Renda média baixa,Habitação,0.93353
RM de Porto Alegre (RS),Renda média baixa,Saúde e cuidados pessoais,0.5187
RM de Porto Alegre (RS),Renda média baixa,Transportes,0.040600000000000004
RM de Porto Alegre (RS),Renda média baixa,Vestuário,0.122
RM de Recife (PE),Renda alta,Alimentação e bebidas,0.40344
RM de Recife (PE),Renda alta,Artigos de residência,-0.01363
RM de Recife (PE),Renda alta,Comunicação,0.023779999999999996
RM de Recife (PE),Renda alta,Despesas pessoais,0.32712
RM de Recife (PE),Renda alta,Educação,0.5253
RM de Recife (PE),Renda alta,Habitação,0.47197
RM de Recife (PE),Renda alta,Saúde e cuidados pessoais,0.28251000000000004
RM de Recife (PE),Renda alta,Transportes,1.0008
RM de Recife (PE),Renda alta,Vestuário,0.033929999999999995
RM de Recife (PE),Renda baixa,Alimentação e bebidas,0.76752
RM de Recife (PE),Renda baixa,Artigos de residência,-0.01974
RM de Recife (PE),Renda baixa,Comunicação,0.0348
RM de Recife (PE),Renda baixa,Despesas pessoais,0.1392
RM de Recife (PE),Renda baixa,Educação,0.1957
RM de Recife (PE),Renda baixa,Habitação,0.8140400000000001
RM de Recife (PE),Renda baixa,Saúde e cuidados pessoais,0.30222
RM de Recife (PE),Renda baixa,Transportes,0.7089
RM de Recife (PE),Renda baixa,Vestuário,0.04263
RM de Recife (PE),Renda muito baixa,Alimentação e bebidas,0.84624
RM de Recife (PE),Renda muito baixa,Artigos de residência,-0.023969999999999998
RM de Recife (PE),Renda muito baixa,Comunicação,0.03422
RM de Recife (PE),Renda muito baixa,Despesas pessoais,0.12179999999999999
RM de Recife (PE),Renda muito baixa,Educação,0.21114999999999998
RM de Recife (PE),Renda muito baixa,Habitação,0.87899
RM de Recife (PE),Renda muito baixa,Saúde e cuidados pessoais,0.29564999999999997
RM de Recife (PE),Renda muito baixa,Transportes,0.5462699999999999
RM de Recife (PE),Renda muito baixa,Vestuário,0.04436999999999999
RM de Recife (PE),Renda média,Alimentação e bebidas,0.60024
RM de Recife (PE),Renda média,Artigos de residência,-0.01551
RM de Recife (PE),Renda média,Comunicação,0.03422
RM de Recife (PE),Renda média,Despesas pessoais,0.16878
RM de Recife (PE),Renda média,Educação,0.34505
RM de Recife (PE),Renda média,Habitação,0.5975400000000001
RM de Recife (PE),Renda média,Saúde e cuidados pessoais,0.30441
RM de Recife (PE),Renda média,Transportes,0.9924599999999999
RM de Recife (PE),Renda média,Vestuário,0.04002
RM de Recife (PE),Renda média alta,Alimentação e bebidas,0.5084
RM de Recife (PE),Renda média alta,Artigos de residência,-0.014569999999999998
RM de Recife (PE),Renda média alta,Comunicação,0.03306
RM de Recife (PE),Renda média alta,Despesas pessoais,0.21227999999999997
